CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201520,HM,1,ART,ART,351,34575,Product ID-SP,1430,1620,TR,MMVA,206,G,Art Adjunct,3,3,20,20,YES,
201520,HM,1,ART,ART,353,34882,Commercial Photography,1500,1650,MW,MMVA,207,G,James Miles,3,3,21,21,YES,
201520,HM,1,ART,ART,356,35724,Web Design,1300,1445,WF,RUPP,229,G,Art Adjunct,4,4,19,19,YES,
201520,HM,1,ART,ART,356,35766,Web Design,1100,1250,MF,MMVA,207,G,Curtis Ellis,4,4,21,21,YES,
201520,HM,1,ART,ART,372,35490,Sculpture II,800,950,MW,MMVA,106,G,Joshua Welker,3,3,16,16,YES,
201520,HM,1,ART,ART,382,34934,The Christian and the Arts,900,950,TR,RUPP,203,S,Rachel Smith,2,2,25,25,YES,
201520,HM,1,ART,ART,383,35225,Christian & Arts: Art Educ,900,950,TR,RUPP,203,G,Rachel Smith,1,1,5,5,YES,
201520,HM,1,ART,ART,418,36098,Critical Found Studio Practice,1100,1250,MW,MMVA,202,G,Joshua Welker,3,3,20,20,YES,
201520,HM,1,ART,ART,456,36099,Web Animation,1800,2130,R,MMVA,8,A,Curtis Ellis,4,4,18,18,YES,
201520,HM,1,ART,ART,471,35492,Sculpture III,800,950,MW,MMVA,106,G,Joshua Welker,3,3,16,16,YES,
201520,HM,1,ART,ART,484,35777,Senior Thesis II-SP,1800,2100,T,MMVA,8,G,Joshua Welker,3,3,20,20,YES,
201520,HM,1,ART,ART,485,34573,Senior Exhibition:Graphics,1700,1900,M,MMVA,206,I,Curtis Ellis,3,3,30,30,YES,
201520,HM,1,ART,HUM,250C,34584,P.A. Ceramics,930,1045,T,MMVA,108,G,Susan Nace,1,1,12,12,YES,
201520,HM,1,ART,HUM,250C,34585,P.A. Ceramics,930,1045,R,MMVA,108,G,Susan Nace,1,1,12,12,YES,
201520,HM,1,ART,HUM,250D,30495,P.A. Drawing,1100,1150,T,MMVA,210,G,Art Adjunct,1,1,15,15,YES,
201520,HM,1,ART,HUM,250D,35015,P.A. Drawing,1100,1150,R,MMVA,210,G,Art Adjunct,1,1,15,15,YES,
201520,HM,H1,ART,ART,154,34555,Digital Tools: Illustrator,1000,1050,TR,MMVA,207,G,Art Adjunct,1,1,21,21,YES,
201520,HM,H1,ART,ART,157,34884,Digital Tools: InDesign,1230,1320,TR,MMVA,207,G,Art Adjunct,1,1,21,21,YES,
201520,HM,H1,ART,ART,157,35845,Digital Tools: InDesign,1100,1150,MW,RUPP,222,G,Art Adjunct,1,1,19,19,YES,
201520,HM,H2,ART,ART,156,34556,Digital Tools: Photoshop,1230,1320,TR,MMVA,207,G,Art Adjunct,1,1,21,21,YES,
201520,HM,H2,ART,ART,156,35875,Digital Tools: Photoshop,1030,1120,TR,MMVA,207,G,Art Adjunct,1,1,21,21,YES,
201520,HM,H2,ART,ART,156,35876,Digital Tools: Photoshop,1130,1220,TR,MMVA,207,G,Art Adjunct,1,1,21,21,YES,
